Name,Size (Imperial),Size (Metric),Calories,Calories From Fat,Total Fat,% Fat Daily Value,Saturated Fat,% Saturated Fat Daily Value,Trans Fat,Cholesterol,% Cholesterol Daily Value,Sodium,% Sodium Daily value,Carbohydrates,% Carbohydrates Daily Value,Dietary Fiber,% Dietary Fiber Daily Value,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Angus Bacon & Cheese,10.2,291,790,350,39,60,17,87,2,145,49,2070,86,63,21,4,14,13,45,10,4,25,35
Quarter Pounder® with Cheese,7.1,202,520,240,26,40,12,61,1.5,90,31,1180,49,42,14,3,11,10,30,10,2,30,25
Double Quarter Pounder® with Cheese,10,283,750,380,42,65,19,95,2.5,155,52,1360,57,42,14,3,11,10,48,10,2,30,35
Hamburger,3.5,100,250,80,9,13,3.5,16,0.5,25,9,490,20,31,10,1,6,6,12,0,2,10,15
Cheeseburger,4,115,300,110,12,19,6,28,0.5,40,13,720,30,33,11,2,7,7,15,6,2,20,15
Double Cheeseburger,5.8,165,440,200,23,35,11,54,1.5,80,26,1120,47,34,11,2,8,7,25,10,2,25,20
McDouble,5.3,151,390,170,19,29,8,42,1,65,22,890,37,33,11,2,7,7,23,6,2,20,20
Filet-O-Fish®,5,143,380,170,18,28,3.5,19,0,40,14,610,25,39,13,2,6,5,16,2,0,15,15
Southern Style Crispy Chicken Sandwich,5.6,159,420,170,19,28,3,15,0,45,14,900,38,43,14,2,7,7,21,2,2,15,15
Premium Crispy Chicken Classic Sandwich,7.5,213,510,200,22,33,3.5,18,0,45,16,990,41,56,19,3,13,10,24,4,6,15,20
Premium Grilled Chicken Classic Sandwich,7,200,350,80,9,13,2,9,0,65,22,820,34,42,14,3,13,8,28,4,8,15,20
Premium Crispy Chicken Club Sandwich,8.4,237,620,260,29,45,7,37,0,70,24,1200,50,57,19,3,14,11,31,8,6,30,20
Premium Grilled Chicken Club Sandwich,7.9,223,460,150,16,25,6,28,0,90,30,1030,43,43,14,3,13,9,35,8,8,30,20
Premium Crispy Chicken Ranch BLT Sandwich,7.6,215,540,210,23,35,4.5,23,0,55,19,1170,49,56,19,3,13,11,27,4,6,15,20
Premium Grilled Chicken Ranch BLT Sandwich,7.1,202,380,90,10,15,3,14,0,75,25,1000,42,42,14,3,13,9,31,4,8,15,20
McChicken,5,143,360,140,16,25,3,15,0,35,11,800,33,40,13,2,7,5,14,0,2,10,15
Angus Deluxe,11.1,314,750,350,39,60,16,82,2,135,45,1700,71,61,20,4,16,10,40,15,8,25,35
Angus Mushroom & Swiss,10,283,770,360,40,61,17,85,2,135,46,1170,49,59,20,4,16,8,44,8,0,40,35
Big Mac®,7.6,215,550,260,29,45,10,50,1.5,75,25,1000,42,46,15,3,13,9,25,6,2,25,25
